ID	value	group
307	3.74	PS
308	3.27	PS
309	3.68	PS
310	2.7	PS
311	4.52	PS
312	1.89	PS
313	3.55	PS
314	3.08	PS
315	3.99	PS
316	2.81	PS
317	3.41	PS
318	2.03	PS
319	1.77	PS
320	2.9	PS
321	1.79	PS
322	3.53	PS
323	3.77	PS
324	3.88	PS
325	3.28	PS
326	3.85	PS
327	4.13	PS
328	3.2	PS
329	3.86	PS
330	3.46	PS
331	4.06	PS
332	2.13	PS
333	3.29	PS
334	2.85	PS
335	3.46	PS
336	3.65	PS
337	3.81	PS
338	2.89	PS
339	3.32	PS
340	3.73	PS
341	3.62	PS
342	3.57	PS
343	2.71	PS
344	2.91	PS
345	1.92	PS
346	3.07	PS
347	2.95	PS
348	4.01	PS
349	2.22	PS
350	4.27	PS
351	3.12	PS
352	2.6	PS
353	4.41	PS
354	3.29	PS
355	2.89	PS
356	3.92	PS
357	3.04	PS
358	2.19	PS
359	4.73	PS
360	3.34	PS
361	3.34	PS
362	2.3	PS
363	2.47	PS
364	3.28	PS
365	2.75	PS
366	4.09	PS
367	4.13	PS
368	3.73	PS
369	4.52	PS
370	3.5	PS
371	4.27	PS
372	4.19	PS
373	4.59	PS
374	3.78	PS
375	2.4	PS
376	3.92	PS
377	4.23	PS
378	2.88	PS
379	4.21	PS
380	2.87	PS
381	3.85	PS
382	4.9	PS
383	3.24	PS
384	2.38	PS
385	1.29	PS
386	3.62	PS
387	3.4	PS
388	3.68	PS
389	3.47	PS
390	3.34	PS
391	3.25	PS
392	2.74	PS
393	4.46	PS
394	3.07	PS
395	3.96	PS
396	2.99	PS
397	2.75	PS
398	1.66	PS
399	3.72	PS
400	3.47	PS
401	3.45	NI
402	4.39	NI
403	3.75	NI
404	3.05	NI
405	2.85	NI
406	3.63	NI
407	4.25	NI
408	4.04	NI
409	3.09	NI
410	2.59	NI
411	2.96	NI
412	3.55	NI
413	3.59	NI
414	4.15	NI
415	2.87	NI
416	3.32	NI
417	4.14	NI
418	3.94	NI
419	2.87	NI
420	3.02	NI
421	2.29	NI
422	3.76	NI
423	3.35	NI
424	3.92	NI
425	4.04	NI
426	2.76	NI
427	3.98	NI
428	4.35	NI
429	1.45	NI
430	3.19	NI
431	3.53	NI
432	3.14	NI
433	3.58	NI
434	3.51	NI
435	2.75	NI
436	2.49	NI
437	2.21	NI
438	3.91	NI
439	5.21	NI
440	3.23	NI
441	2.83	NI
442	2.57	NI
443	4.27	NI
444	2.53	NI
445	4.37	NI
446	2.33	NI
447	2.63	NI
448	2.2	NI
449	2.85	NI
450	4.06	NI
451	3.83	LS
452	2.45	LS
453	3.5	LS
454	2.89	LS
455	3.38	LS
456	3.17	LS
457	4.33	LS
458	3.75	LS
459	3.64	LS
460	4.53	LS
461	2.95	LS
462	2.11	LS
463	4.51	LS
464	1.73	LS
465	3.47	LS
466	3.88	LS
467	2.09	LS
468	3.15	LS
469	4.11	LS
470	2.76	LS
471	2.88	LS
472	3.15	LS
473	2.97	LS
474	3.43	LS
475	3.8	LS
476	1.92	LS
477	2.64	LS
478	3.25	LS
479	1.72	LS
480	3.49	LS
481	2.94	LS
482	3.8	LS
483	2.58	LS
484	2.86	LS
485	1.35	LS
486	3.55	LS
487	2.31	LS
488	3.34	LS
489	2.48	LS
490	2.84	LS
491	3.62	LS
492	4.03	LS
493	2.62	LS
494	3.7	LS
495	2.29	LS
496	2.01	LS
497	3.48	LS
498	3.65	LS
499	3.47	LS
500	2.7	LS
501	3.31	LS
502	3.9	LS
503	2.93	LS
504	2.78	LS
505	2.52	LS
506	2.68	LS
507	3.49	LS
508	4.42	LS
509	2.66	LS
510	4.97	LS
511	3.6	LS
512	4.49	LS
513	3.41	LS
514	2.63	LS
515	3.39	LS
516	4.09	LS
517	3.02	LS
518	2.1	LS
519	3.42	LS
520	3.73	LS
521	2.68	LS
522	2.75	LS
523	3.34	LS
524	3.75	LS
525	3.67	LS
526	4.24	LS
527	1.72	LS
528	1.45	LS
529	2.27	LS
530	3.39	LS
531	3.93	LS
532	3.66	LS
533	1.57	LS
534	3.44	LS
535	3.14	LS
536	2.81	LS
537	2.99	LS
538	3.2	LS
539	3.77	LS
540	2.37	LS
541	4.93	LS
542	2.99	LS
543	3.54	LS
544	2.92	LS
545	4.66	LS
546	1.65	LS
547	2.01	LS
548	4.41	LS
549	2.44	LS
550	4.08	LS
551	2.1	LS
552	4.2	LS
553	2.89	LS
554	3.24	LS
555	3.33	LS
556	2.91	LS
557	3.67	LS
558	4.48	LS
559	2.45	LS
560	3.63	LS
561	3.51	LS
562	3.38	LS
563	4.03	LS
564	2.49	LS
565	3.6	LS
566	3.16	LS
567	2.35	LS
568	3.05	LS
569	3.2	LS
570	2.45	LS
571	3.29	LS
572	4.47	LS
573	3.56	LS
574	3.47	LS
575	3.32	LS
576	2.2	LS
577	2.52	LS
578	2.8	LS
579	2.62	LS
580	3.51	LS
581	2.98	LS
582	3.58	LS
583	3.38	LS
584	3.86	LS
585	2.33	LS
586	2.45	LS
587	4.22	LS
588	3.41	LS
589	2.12	LS
590	2.73	LS
591	3.25	LS
592	4.51	LS
593	5.21	LS
594	3.25	LS
595	3.36	LS
596	2.69	LS
597	4.68	LS
598	3.54	LS
599	2.58	LS
600	2	LS
601	3.63	LS
602	2.1	LS
603	2.33	LS
604	2.1	LS
605	2.91	LS
606	4.58	LS
607	2.81	LS
608	4.07	LS
609	2.9	LS
610	4.02	LS
611	2.41	LS
612	3.55	LS
613	3.85	LS
614	4.38	LS
615	3.35	LS
616	3.23	LS
617	3.63	LS
618	2.6	LS
619	3.63	LS
620	2.81	LS
621	3.78	LS
622	4.9	LS
623	3.78	LS
624	5.1	LS
625	2.87	LS
626	3.01	LS
627	2.52	LS
628	3.03	LS
629	2.18	LS
630	2.64	LS
631	3.18	LS
632	3.3	LS
633	2.91	LS
634	3.28	LS
635	2.6	LS
636	3.16	LS
637	3.44	LS
638	2.21	LS
639	4.08	LS
640	4.03	LS
641	2.76	LS
642	3.3	LS
643	4.38	LS
644	5.06	LS
645	1.66	LS
646	2.74	LS
647	3.58	LS
648	2.92	LS
649	3.24	LS
650	3.06	LS
651	1.77	MS
652	2.64	MS
653	2.27	MS
654	0.56	MS
655	2.57	MS
656	3.29	MS
657	4.03	MS
658	3.71	MS
659	3.33	MS
660	2.93	MS
661	3.58	MS
662	4.18	MS
663	3.85	MS
664	3.26	MS
665	4.27	MS
666	2.94	MS
667	1.82	MS
668	1.83	MS
669	2.23	MS
670	1.49	MS
671	3.61	MS
672	2.61	MS
673	2.94	MS
674	3.39	MS
675	0.89	MS
676	1.89	MS
677	1.97	MS
678	3.63	MS
679	3.23	MS
680	4.36	MS
681	1.23	MS
682	2.87	MS
683	2.46	MS
684	2.87	MS
685	2.49	MS
686	3.05	MS
687	2.57	MS
688	2.2	MS
689	2.7	MS
690	3.75	MS
691	3.46	MS
692	2.18	MS
693	1.48	MS
694	3.19	MS
695	1.77	MS
696	2.42	MS
697	1.66	MS
698	2.49	MS
699	2.52	MS
700	1.97	MS
701	3.63	MS
702	2.11	MS
703	3.14	MS
704	4.36	MS
705	4.38	MS
706	3.57	MS
707	2.82	MS
708	3.05	MS
709	2.77	MS
710	2.09	MS
711	2.3	MS
712	3.95	MS
713	3.16	MS
714	2.94	MS
715	4.27	MS
716	3.29	MS
717	2.48	MS
718	2.35	MS
719	2.88	MS
720	3.24	MS
721	1.94	MS
722	0.75	MS
723	2.8	MS
724	3.58	MS
725	2.71	MS
726	2.69	MS
727	2.54	MS
728	3.58	MS
729	2.71	MS
730	3.26	MS
731	3.74	MS
732	3.5	MS
733	2.76	MS
734	3.36	MS
735	3.23	MS
736	2.39	MS
737	3.1	MS
738	2.76	MS
739	3.05	MS
740	2.88	MS
741	3.14	MS
742	2.6	MS
743	2.78	MS
744	2.42	MS
745	2.91	MS
746	3.23	MS
747	2.63	MS
748	1.67	MS
749	3.17	MS
750	2.33	MS
751	3.13	MS
752	3.98	MS
753	3	MS
754	3.23	MS
755	3.89	MS
756	3.07	MS
757	2.45	MS
758	1.55	MS
759	2.45	MS
760	3.18	MS
761	4.2	MS
762	3.09	MS
763	2.97	MS
764	2.83	MS
765	3.85	MS
766	3.41	MS
767	2.47	MS
768	3.93	MS
769	2.9	MS
770	1.49	MS
771	4.13	MS
772	3.5	MS
773	1.84	MS
774	2.18	MS
775	2.35	MS
776	2.4	MS
777	3.39	MS
778	2.69	MS
779	3.07	MS
780	3.78	MS
781	2.14	MS
782	2.23	MS
783	4.48	MS
784	2.95	MS
785	3.67	MS
786	2.14	MS
787	2.39	MS
788	3.29	MS
789	2.57	MS
790	2.39	MS
791	2.86	MS
792	2.71	MS
793	2.85	MS
794	2.02	MS
795	2.16	MS
796	3.97	MS
797	2.75	MS
798	3.97	MS
799	3.77	MS
800	1.58	MS
801	3.51	MS
802	2.59	MS
803	2.72	MS
804	1.91	MS
805	3.49	MS
806	3.73	MS
807	4.47	MS
808	4.12	MS
809	1.68	MS
810	2.72	MS
811	2.3	MS
812	2.84	MS
813	3.4	MS
814	1.53	MS
815	2.91	MS
816	4.51	MS
817	1.66	MS
818	3.17	MS
819	3.13	MS
820	1.91	MS
821	2.82	MS
822	3.3	MS
823	2.49	MS
824	2.59	MS
825	3.63	MS
826	2.41	MS
827	3.19	MS
828	2.64	MS
829	2.7	MS
830	2.2	MS
831	3.31	MS
832	1.54	MS
833	3.72	MS
834	2.3	MS
835	2.35	MS
836	2.75	MS
837	3.44	MS
838	2.87	MS
839	3.58	MS
840	3.05	MS
841	2.75	MS
842	4.5	MS
843	2.78	MS
844	3.1	MS
845	3.31	MS
846	2.03	MS
847	1.78	MS
848	1.45	MS
849	2.19	MS
850	3.14	MS
851	4.03	HS
852	2.86	HS
853	2.38	HS
854	1.02	HS
855	1.25	HS
856	4.52	HS
857	3.43	HS
858	3.47	HS
859	3.1	HS
860	2.87	HS
861	2.78	HS
862	1.37	HS
863	2.06	HS
864	1.68	HS
865	2.93	HS
866	2.8	HS
867	2.48	HS
868	2.67	HS
869	3.11	HS
870	2.76	HS
871	1.43	HS
872	3.08	HS
873	1.85	HS
874	1.89	HS
875	2.79	HS
876	2.43	HS
877	2.95	HS
878	1.84	HS
879	2.8	HS
880	2.57	HS
881	1.76	HS
882	1.92	HS
883	0.73	HS
884	2.21	HS
885	3.24	HS
886	1.54	HS
887	2.89	HS
888	2.1	HS
889	3.37	HS
890	2.8	HS
891	2.66	HS
892	0.99	HS
893	1.36	HS
894	1.92	HS
895	2.63	HS
896	3.56	HS
897	1.82	HS
898	3.74	HS
899	2.85	HS
900	1.54	HS
901	3.65	HS
902	2.29	HS
903	3	HS
904	3.22	HS
905	2.46	HS
906	3.49	HS
907	3.56	HS
908	4.81	HS
909	1.91	HS
910	3.94	HS
911	2.75	HS
912	1.63	HS
913	2.55	HS
914	2.96	HS
915	2.43	HS
916	4.3	HS
917	3.06	HS
918	3.39	HS
919	3.47	HS
920	1.49	HS
921	3.35	HS
922	3.69	HS
923	3.71	HS
924	2.82	HS
925	1.83	HS
926	1.05	HS
927	1.67	HS
928	2.13	HS
929	3.85	HS
930	4.45	HS
931	1.53	HS
932	2.49	HS
933	2.33	HS
934	1.86	HS
935	2.89	HS
936	1.77	HS
937	2.75	HS
938	3.22	HS
939	1.82	HS
940	3.13	HS
941	2.49	HS
942	3.36	HS
943	2.35	HS
944	2.31	HS
945	0.88	HS
946	2.63	HS
947	3.45	HS
948	2.15	HS
949	2.95	HS
950	3.06	HS
951	2.86	HS
952	1.69	HS
953	3.02	HS
954	3.79	HS
955	1.3	HS
956	2.33	HS
957	2.48	HS
958	1.63	HS
959	3.17	HS
960	4.32	HS
961	2.2	HS
962	1.22	HS
963	2.01	HS
964	0.85	HS
965	2.36	HS
966	2.85	HS
967	3.8	HS
968	1.12	HS
969	2.63	HS
970	2.51	HS
971	2.64	HS
972	1.62	HS
973	3.5	HS
974	2.1	HS
975	2.6	HS
976	2.6	HS
977	3	HS
978	1.22	HS
979	2.85	HS
980	1.6	HS
981	0.34	HS
982	1.97	HS
983	4.56	HS
984	2.76	HS
985	2.24	HS
986	2.83	HS
987	2.29	HS
988	2.92	HS
989	2.03	HS
990	2.05	HS
991	3.02	HS
992	1.65	HS
993	2.08	HS
994	2.69	HS
995	2.51	HS
996	2.55	HS
997	3.25	HS
998	2.42	HS
999	2.88	HS
1000	3.67	HS
1001	2.22	HS
1002	2.19	HS
1003	2.86	HS
1004	2.25	HS
1005	0.88	HS
1006	1.54	HS
1007	3.17	HS
1008	3.21	HS
1009	2.58	HS
1010	3.21	HS
1011	2.88	HS
1012	2.51	HS
1013	0.04	HS
1014	2.11	HS
1015	2.2	HS
1016	3.88	HS
1017	3.48	HS
1018	2.15	HS
1019	2.3	HS
1020	3.23	HS
1021	1.16	HS
1022	2.04	HS
1023	1.87	HS
1024	3.04	HS
1025	2.84	HS
1026	2.87	HS
1027	2.35	HS
1028	2.68	HS
1029	3.31	HS
1030	2.09	HS
1031	2.48	HS
1032	3.06	HS
1033	3.77	HS
1034	1.94	HS
1035	4.55	HS
1036	2.97	HS
1037	2.11	HS
1038	4.1	HS
1039	2.89	HS
1040	3.22	HS
1041	2.14	HS
1042	2.24	HS
1043	2.98	HS
1044	2.13	HS
1045	1.65	HS
1046	1.67	HS
1047	0.15	HS
1048	3.27	HS
1049	1.59	HS
1050	2.46	HS
