,alpha0,alpha7,alpha14,alpha21,alpha28,alpha35,alpha42,alpha49,alpha56,alpha63,alpha70,alpha77,alpha84,alpha91,alpha98,alpha105,alpha112,alpha119,ABF1_YPD,ACE2_YPD,ADR1_YPD,ARG80_YPD,ARG81_YPD,ARO80_YPD,ASH1_YPD,AZF1_YPD,BAS1_YPD,CAD1_YPD,CBF1_YPD,CHA4_YPD,CIN5_YPD,CRZ1_YPD,CUP9_YPD,DAL81_YPD,DAL82_YPD,DIG1_YPD,DOT6_YPD,FHL1_YPD,FKH1_YPD,FKH2_YPD,FZF1_YPD,GAL4_YPD,GAT1_YPD,GAT3_YPD,GCN4_YPD,GCR1_YPD,GCR2_YPD,GLN3_YPD,GTS1_YPD,HAA1_YPD,HAL9_YPD,HAP2_YPD,HAP3_YPD,HAP4_YPD,HAP5_YPD,HIR1_YPD,HIR2_YPD,HMS1_YPD,HSF1_YPD,IME4_YPD,INO2_YPD,INO4_YPD,IXR1_YPD,LEU3_YPD,MAC1_YPD,MAL13_YPD,MAL33_YPD,A1..MATA1._YPD,MBP1_YPD,MCM1_YPD,MET31_YPD,MET4_YPD,MIG1_YPD,MOT3_YPD,MSN1_YPD,MSN2_YPD,MSN4_YPD,MSS11_YPD,NDD1_YPD,NRG1_YPD,PDR1_YPD,PHD1_YPD,PHO2_YPD,PHO4_YPD,PUT3_YPD,RAP1_YPD,RCS1_YPD,REB1_YPD,RFX1_YPD,RGM1_YPD,RGT1_YPD,RIM101_YPD,RLM1_YPD,RME1_YPD,ROX1_YPD,RPH1_YPD,RTG1_YPD,RTG3_YPD,SFL1_YPD,SFP1_YPD,SIP4_YPD,SKN7_YPD,SKO1_YPD,SMP1_YPD,SOK2_YPD,STB1_YPD,STE12_YPD,STP1_YPD,STP2_YPD,SUM1_YPD,SWI4_YPD,SWI5_YPD,SWI6_YPD,THI2_YPD,UGA3_YPD,YAP1_YPD,YAP3_YPD,YAP5_YPD,YAP6_YPD,YAP7_YPD,YFL044C_YPD,YJL206C_YPD,ZAP1_YPD,ZMS1_YPD
220,0.2,1.33,1.25,1.02,0.16,-0.07,-0.88,-0.59,-0.5,-0.57,0.1,0.04,0.01,-0.48,-0.15,-0.02,-0.36,-0.5,0.36576565,0.077528365,-0.090771733,-0.227251006,-0.135633703,-0.363128135,0.172746077,0.124123893,-0.339628202,-0.264902375,0.018570797,-0.416020656,-0.03717149,0.423658626,-0.140153265,-0.06171993,-0.31233992,-0.161976551,0.727504201,-0.015383382,-0.245315661,-0.018222866,-0.086561631,-0.001059226,0.433122049,0.144221702,-0.295022484,0.114531076,-0.066356422,-0.27250791,-0.07191263,-0.420380331,-0.275150742,-0.327860247,-0.257637873,0.001595315,-0.235045215,-0.001543687,-2.29E-05,-0.054504271,0.100503666,-0.179097512,-0.074981887,0.515725368,-0.369479006,-0.197323542,0.053236759,-0.011182201,0.392103503,-0.748719759,-0.02966712,-0.236385366,-0.214799755,-0.006025502,-0.332428241,0.156158543,-0.10031445,-0.278126914,-0.068219682,-0.40731568,-0.064329728,-0.10266582,-0.164607129,-0.333221398,-0.266511384,-0.666360634,-0.005183816,0.525111406,-0.169685687,-0.322696751,-0.441891017,0.800228822,-0.144605581,-0.167359516,-0.283872725,-0.068184471,0.132899497,0.001535941,0.00762724,0.000478895,-0.154884145,0.057339497,-0.110534074,0.152217174,0.081655677,0.07479244,-0.3437886,-0.231053668,-0.137397279,-0.232534913,-0.334732037,-0.149910268,0.02160395,0.000497067,-0.084240211,-0.27595108,-0.508968589,-0.188627602,-0.014033946,-0.259648649,-0.008344904,-0.268871651,-0.293680438,-0.086421116,-0.327300493,-0.438713499
222,1.03,0.85,0.63,-0.45,-0.86,-2.06,-1.39,-1.29,-0.76,0.17,1.18,1.12,1.12,0.92,0.65,-0.34,-0.27,-0.27,0.635217976,0.143641314,0.172636514,-0.586038597,-0.320788654,-0.298283303,0.348262905,0.194158807,-0.084626646,-0.607456336,0.710666143,-0.249119062,-0.128354416,0.008904047,0.199581517,0.254805534,-0.739698289,-0.178521957,0.731912835,-0.3642808,0.236717921,-0.26418881,-0.246551225,-0.885355658,0.624680758,-0.187058663,0.00105509,-0.067083416,-0.249599697,-0.246245982,-0.13364913,-0.940797916,-0.160733298,-0.231698308,-0.472809749,-0.27768969,-0.429587219,-0.069188132,-0.007416188,-0.179759544,0.415551873,-0.570214591,0.237807328,1.256846178,0.461619498,-0.080203072,-0.044178288,0.287050477,0.139615001,-0.829998416,0.01555994,0.277039815,-0.166937723,0.604191005,-0.123406926,0.150159566,-0.79881643,-0.663864077,-0.370836246,-0.333377442,0.291820653,-0.234200603,-0.255468502,0.301677307,0.429015785,-0.627724155,0.369941915,-0.000685169,0.058173778,-0.317430316,-0.219666499,0.698192069,0.295300203,-0.016616842,0.487571139,-0.240879183,0.041555743,0.029675925,-0.46336053,-0.134422612,0.402597436,0.055736251,-0.116248417,1.221915985,0.338659449,-0.137520884,-0.068253186,-0.744387481,0.262838667,-0.485736177,-0.351634624,-0.217223259,0.367298146,0.338446437,0.240336924,-0.37495254,-1.364582071,0.184456264,-0.219271878,-0.56030636,0.16230183,-0.324357618,-0.471934558,-0.335064434,-0.163968774,0.289498682
225,0.04,0,0.19,0.12,-0.08,0.09,-0.05,0.16,0.02,-0.11,0,0.02,-0.13,-0.15,0,0.16,-0.24,-0.04,-0.20929723,-0.119624947,0.129446041,0.032742682,0.006826957,-0.33991575,0.603453775,0.169451207,0.018493173,0.329684373,0.88115056,-0.520592187,-0.022436204,0.931456065,-0.069327811,-0.090477576,0.252381626,0.238882343,-0.01083493,0.051772451,-0.329157199,-0.038915655,-0.117600886,-0.022144315,0.569029531,0.373652554,0.023896881,0.113592893,0.002569171,-0.037407832,-0.073980384,0.153405995,-0.043383081,0.277512061,-0.037189772,0.170062468,0.145667413,0.380742856,0.13818248,0.050672477,-0.866335765,0.104212381,0.011034275,0.790247068,-0.3033495,0.076959765,0.123805891,0.923861736,0.468698936,-0.620385226,-0.133112779,0.140714927,0.115632177,0.474327113,0.111207631,0.004475936,0.071476847,-0.290735289,-0.238913602,0.359522632,0.093389936,-0.211632928,0.005768609,0.15668655,-0.045267055,-0.074070683,0.197042808,-0.557071299,0.011843676,1.362869496,0.096528234,0.00550735,0.301822907,-0.088984828,0.356586244,0.057783934,0.213346037,1.033054823,0.381927872,0.079331821,0.434439174,0.163269686,0.418681865,-0.180203116,-0.777830018,0.125582734,0.418895765,-0.06602443,0.15490059,-0.015260945,-0.209021747,0.058645109,-0.360589407,-0.518019081,-5.54E-05,-0.007275793,-0.572331251,-0.214643065,-0.000172239,0.070192009,0.211374722,0.123178816,-0.148350153,-0.027692415,0.20163499,-0.095982295
227,-0.74,-0.13,-0.05,0.28,-0.03,0.02,0.16,0.14,-0.27,-0.35,0.37,-0.29,0.42,-0.27,1,0.2,-0.05,-0.4,-0.001754836,0.098397997,0.102274885,0.000693048,0.034542257,0.161943777,-0.000396074,0.044538487,0.188795507,0.38370949,-0.135377827,0.090905177,-0.090907279,0.702748933,-0.013951814,-0.185505768,0.078199783,-0.207263599,0.333825686,0.187010482,-0.215045883,-0.220545356,-0.176619511,0.171846417,-0.112070067,0.228975647,-0.026589066,0.117272544,0.162325937,-0.13950895,-0.508751767,0.164868899,-0.265358265,-0.195546227,0.001144613,0.261755491,-0.139490961,0.110618081,-6.67E-06,0.047218964,0.045321343,0.253097847,-0.013733804,-0.483853543,-0.046831388,-0.426066363,0.134501433,-0.9541005,-0.022895138,0.205723557,-0.35984627,-0.22288349,0.027653599,-0.21417062,0.067514265,0.191554439,-0.035651971,-0.371023523,-0.092430151,1.192478635,-0.340410734,0.195644423,0.230809113,-0.521009397,-1.736920006,1.162448145,-0.016680094,0.046437137,0.172596322,-0.015348357,0.435679901,0.011108006,-0.029839241,-0.487462182,-0.012360357,-0.181929654,0.073808993,0.088135354,-0.009763581,-0.43493986,0.558117821,-0.591657364,-0.013033458,-0.072797268,0.416343413,0.283167345,0.339203417,-0.267109323,-0.405486553,0.061982549,-0.031118739,-0.147089364,-0.684949546,-0.211031223,-0.260701729,-0.091413069,0.190203072,-0.332567704,0.518641789,1.261538397,0.153066617,-0.361477567,-0.096752022,0.03086983,0.194067379,-0.001968544
231,0.79,0.35,-0.36,-0.02,-0.58,0.12,-0.17,0.31,0.1,0.23,-0.04,0.01,-0.12,-0.14,-0.49,-0.17,0.04,0.13,-0.130087496,-0.055007049,-0.166704719,-0.529381987,-0.45544935,-0.377734791,0.322104093,-0.503244468,-0.344302992,-0.466493543,0.315040528,-0.633290399,0.25621734,0.935820433,-0.257292736,-0.333361264,-1.037795473,0.08866687,0.893325007,-0.21620785,0.187842856,0.615145154,-0.239806856,-0.560620734,0.30576815,-0.116892296,-0.026756941,-0.194458093,-0.238072083,-0.035109327,-0.235912748,-0.243752654,-0.371353228,-0.326789756,-0.220499314,-0.202348973,-0.500512101,0.054221958,-0.013839098,0.09336235,-0.084174538,-0.071265411,0.16392259,0.746664217,0.123530197,-0.251791845,-0.090559866,0.445083173,-0.002667888,-0.608895852,0.180817228,0.339016376,-0.203001918,0.037817671,-0.289161385,-0.007926956,-0.170552503,0.07221682,0.271033812,-0.935514041,0.320238229,0.008177635,-0.310908853,-0.000372826,-0.273646494,-0.406302509,0.321830335,0.31062677,-0.638372032,-0.504639868,-0.544389518,0.839321033,-0.108255244,-0.360887055,-0.228951148,-0.325413254,0.007417989,-0.196784174,0.335728029,-0.03492221,0.228650389,0.135817208,0.357566192,0.086134543,0.320794153,-0.016764279,-0.671529425,-0.295975102,0.336174139,-0.125939648,-0.438297152,-0.375873252,0.319187373,-0.009042831,0.027595004,0.095371534,-0.799656259,0.009899347,0.024221226,-0.714504126,-0.176121536,-0.994131383,-0.531603007,-0.090319784,-0.463648065,-0.253116684
232,-0.11,0.13,0.41,0.6,0.23,0.31,0.19,0.16,-0.55,-0.34,0.05,0.23,0.25,0.08,-0.11,-0.23,-1.1,-0.19,-0.01881415,0.058099919,-0.093534735,-0.746284103,-0.355484264,-0.33797708,0.629195635,-0.142741305,-0.130910648,-0.30576776,0.530457241,-0.208975688,-0.360096434,1.038528121,-0.405774937,-0.330035207,-0.016157727,-0.032868364,0.107444566,-0.098171292,0.28454031,-0.00051118,-0.179423507,-0.075537946,0.449965933,0.115351187,0.035070231,0.088389942,-0.476626776,-0.386215021,0.015808255,-0.38252201,-0.290021782,-0.402839653,-0.016249235,-0.038639929,-0.121534559,-0.074093889,-0.099700882,-0.325283356,-0.417851535,-0.10424173,0.425144628,1.489014005,-0.432066537,-0.175419121,-0.18292878,0.468496675,0.73906002,-0.772009905,0.185990326,-0.081130811,-0.022864386,0.351545225,-0.09548717,-0.327180995,0.305793244,-0.305584307,-0.00341078,-0.438478516,-0.043388597,-0.143897123,-0.246800759,-0.207722974,-0.284757161,-0.245936322,0.162045774,0.511738437,-0.79068237,-0.336264059,-0.677458279,0.92179932,0.175279825,0.527225109,-0.14048888,-0.30917914,-0.083422497,0.972449967,0.021205518,0.307847924,0.542944832,0.627801052,0.214115478,-0.207395736,0.22235994,-0.232141383,-0.477213906,0.049999967,-0.081430807,-0.29493825,-0.379432751,-0.566908726,-0.093337345,0.095094944,0.326073632,-0.046495158,-0.785401571,-0.129538264,-0.073142676,-0.381981986,-0.452265135,-0.493747446,-0.128627141,-0.136883787,-0.46586471,0.021863021
234,0.18,-0.04,0.14,0.21,0.15,0.06,-0.27,0.24,-0.04,-0.4,0.2,0.24,0.04,-0.23,-0.03,0.1,-0.18,-0.36,-0.154848552,0.582334982,0.410724036,-0.250962096,0.068757198,-0.088226334,0.550181206,-0.015958653,0.142399844,0.094508095,0.031301037,-0.544490746,-0.140931913,1.22960275,0.339934582,0.276999452,0.150070377,-0.179334552,0.802156896,0.028317507,-0.007759011,0.292560323,-0.383819955,0.097947566,0.664850248,0.166100707,0.251556956,-0.20854337,-0.321995362,-0.534319149,-0.020671706,-0.318104884,-0.065623242,-0.258552688,-0.255408434,0.003149282,-0.012124445,-0.158152942,-0.042655596,0.108628427,-1.129392995,0.280418557,-0.092245585,0.475354818,-0.15766999,-0.041755695,-0.128578074,-0.021052739,0.319486144,-0.230027431,-0.034705338,-0.518519286,0.088064913,0.155911624,-0.120405514,0.06355347,0.071865343,-0.037923777,-0.07721006,-0.011947777,-0.073929846,-0.294037027,-0.04620499,-0.099698393,0.364327013,-0.278241034,0.475700232,-0.26832285,0.07918707,-0.406711578,-0.69250246,-0.093886715,-0.079589337,-0.77276101,-0.329103371,0.148598488,0.035545509,0.08047416,0.183217292,0.231821171,1.121747971,-0.472306367,1.119510499,-0.848598113,-0.886388759,-0.011374814,0.080111723,-1.182826328,-0.142360898,-0.335832985,0.39467492,-0.217392323,0.214146694,-0.049785134,-0.30425355,-0.02775161,-0.434136048,-0.089108512,0.046573478,-0.074974547,-0.085507116,-0.281395366,0.762002187,0.380343459,-0.037181171,-0.409411259
236,-0.74,-0.26,-0.06,0.34,0.26,0.52,0.37,0.03,-0.15,0.01,-0.17,-0.09,0.26,0.03,0.12,-0.13,-0.15,-0.18,-0.267175349,-0.101138347,0.119810065,-0.386854249,-0.213672916,-0.233148996,0.877284399,-0.040392534,-0.051298182,0.006083265,0.653475197,-0.038041813,-0.179959723,1.173572841,-0.425057066,-0.36116703,0.14494226,0.076555675,0.029209171,0.313534478,0.527899872,-0.429293862,0.060892687,0.160050567,0.75921874,0.358396712,-0.220496187,-0.078493121,-0.122171947,-0.527356811,0.708885477,0.315629408,-0.222259825,-0.02143418,-0.054500391,-0.067281085,-0.292900836,-0.047766315,-0.154709176,-0.163559202,0.039915064,0.115433492,0.203213813,-0.233791452,-0.069890493,0.202687396,0.429876014,-0.314498767,1.032185498,-0.404891812,-0.040026636,-0.666664846,-0.003629289,-0.008830294,0.132791866,0.023707858,0.046542746,-0.386266761,0.042473865,-0.300102713,-0.159040093,0.038900101,0.219849142,-0.465195342,0.13070371,-0.492262303,0.028901782,-0.163812999,0.017209718,1.076475021,-0.277437852,0.880421291,0.396632892,0.691856703,-0.039328935,-0.037380278,0.218936989,0.006993366,-0.243327994,-0.348537107,-0.528415394,-0.301408292,0.357963389,0.135559166,0.374599951,-0.066496673,-0.439600615,0.424822251,-0.223708933,-0.146836846,-0.206523486,-0.000981771,-0.372647995,-0.343150616,0.465273967,-0.030453047,-0.218516298,-0.778080638,0.016459378,0.166125137,-0.316024994,-0.044175387,0.041765987,0.155861121,-0.040090626,0.484733239
237,-0.23,-0.18,0.12,0.02,-0.31,-0.09,-0.48,0.15,0.35,-0.07,0.9,0.28,-0.17,-0.2,-0.04,0.23,-0.35,0.07,-0.32982012,-0.334673816,-0.410448418,0.113291366,-0.169886794,0.042938589,-0.033678115,-0.147012125,0.099386645,-0.319348357,0.004160067,0.014628379,-0.000790943,0.436468899,0.003392257,-0.130768811,-0.691576399,0.016545384,-0.023845154,-0.174064584,-0.197547332,-0.014079267,0.306925739,-0.201131685,-0.055265429,0.036134885,0.347239077,-0.320180463,0.022174328,0.005597173,0.470302475,-0.036012353,0.368853819,0.28559421,0.096477769,0.043243562,0.03000067,0.084301746,-0.222180894,-0.006936768,-1.144588325,-0.324493719,-0.059901343,-0.123344019,0.465496951,0.48772064,0.276826914,0.045833228,0.655075721,0.055690862,0.298769622,1.234414867,0.107950677,0.509549108,0.031698384,0.026198073,-0.075340404,0.010688477,-0.113205526,-0.155447581,0.108641407,-0.083845714,-0.03707268,0.016820052,0.205142741,0.025768456,0.510264904,-0.219420841,-0.43847138,0.255379028,0.295662495,-0.569117259,-0.014881249,0.047473756,-0.02254489,0.029260914,0.235586275,-0.040107254,0.367225223,0.23228094,-0.112096029,0.03206698,0.064363609,0.160936576,-1.002809092,0.052076536,-0.128850652,0.13410197,0.076048007,0.090936603,-0.176901417,-0.123235168,-0.229265556,-0.13121236,-0.022045108,0.421706967,-0.00268555,0.50803154,-0.119080027,-0.363675904,-0.060898293,0.219494684,-0.305886941,-0.230987072,-0.736304294,0.131003464
238,-0.44,-0.44,0.08,0.35,0.26,0.17,-0.46,-0.13,-0.05,-0.36,0.65,0.48,0.17,0.05,0.21,0.27,-0.61,-0.2,0.69986359,-0.142849169,0.048253208,0.139204114,-0.130996698,0.081045604,-0.148359124,-0.394705638,0.183210939,0.022853826,-0.155610329,0.462418209,-0.239191159,-0.264035793,-0.038869843,-0.449609756,-0.683411482,-0.017912692,0.072595376,-0.122129144,-0.12482694,-0.035911123,0.331851829,0.050656877,-0.230337368,-0.164545278,0.122229275,-0.102959978,0.107638194,-0.086618236,-0.252025742,0.259697684,0.131942378,-0.28988295,-0.000281468,-0.242753486,-0.164760839,-0.115469314,-0.212176874,0.548319626,-0.768562799,-0.292567198,0.024661516,-0.854070635,-0.13566648,-0.073322674,-0.307913697,-0.6485994,-0.213916693,-0.566008099,-0.29216997,-0.113415907,0.052439266,-0.450345495,0.076132312,-0.079734647,-0.175327529,0.492232225,-0.060163925,-0.415028054,-0.286778593,-0.348635809,0.195737514,-0.129770187,0.637249284,-0.946464664,-0.096342815,0.622210885,0.015269757,0.071200581,0.035485827,0.236454534,0.085742667,-0.461393602,0.006985039,-0.376536644,-0.059268433,-0.091856766,0.919177744,-0.005970871,2.184358982,0.102791679,0.695626324,0.032674985,-0.584435169,-0.007060848,-0.167889969,-0.252603147,-0.038438707,0.160925221,-0.108788281,-0.015227702,-0.305099879,-0.33262197,0.020021798,-0.194696779,-0.359706848,0.014642232,0.429288372,-0.098102743,-0.102888334,0.047966736,-0.212425145,-0.146229183,0.024420962,0.262610913
239,0.11,-0.27,0.07,0.02,0.11,0.11,0.15,0.11,0.02,-0.16,-0.08,-0.11,-0.03,-0.25,0.11,-0.11,0.25,-0.06,-0.243936251,-0.331442613,-0.404591478,-0.564241041,-0.318933375,-0.17167257,0.380783742,-0.002543779,0.188915873,-0.293546877,0.519590916,-0.587713817,0.979436253,0.504456768,-0.00564161,-0.118160655,-0.382671798,-0.147032333,0.91786448,-0.337518423,0.242648232,0.0022549,-0.124760495,-0.540847693,0.325249047,-0.053008288,-0.397484398,-0.079918641,-0.007677888,-0.399965551,0.007416124,-0.031166944,-0.333662437,-0.287333387,-0.424685462,-0.253590879,-0.218345222,0.252824236,0.386447441,-0.153989416,-0.214572569,-0.297672501,0.373803204,1.281882785,-0.015865618,-0.098238656,0.112084363,0.733361283,0.535365516,-0.611773425,-0.019028427,0.12508502,-0.201233605,0.469705967,-0.071063513,-0.205579525,-0.022129343,-0.252933359,-0.154306366,-0.636216195,-0.033982923,-0.08413164,-0.143640701,0.228684002,0.100449168,-0.339272267,0.53303531,-0.001409957,-0.339992005,-0.392519235,-0.474576979,0.0367634,0.820593745,-0.02655878,-2.76E-05,-0.262988587,0.00347372,-0.041676484,-0.051332551,-0.271583039,0.483926881,0.188504359,-0.185446541,0.316027541,0.17209805,-0.106181279,-0.052819852,-0.829826312,-0.187576053,-0.215416669,-0.478979183,-0.30643065,0.208568449,-0.340098251,-0.133581217,-0.150885598,-0.893400715,-0.033637003,-0.578546674,-0.515629159,0.12473984,-0.724996625,-0.468615625,-0.141925481,-0.228882875,0.408043774
241,-0.23,-0.48,-0.46,-0.14,0.34,0.13,0.56,-0.01,0.06,-0.02,-0.48,-0.14,0.22,0.06,0.19,0.18,0.22,0.01,-0.477895425,-0.722571544,-0.275054741,0.407370047,0.0907437,0.18420119,-0.652413572,0.204554806,-0.071589773,-0.687933797,-1.099414018,0.428956097,0.053064474,-0.931797393,-0.152792207,0.009108065,-1.266002773,-0.216392299,-1.008700763,-0.317686807,-0.055229438,-0.111788341,0.295375208,0.165725976,-0.553777908,-0.137834919,0.042253356,0.010819933,0.315909214,0.088797921,-0.115948379,-0.317982728,0.10845099,0.131298282,-0.070608317,0.221179594,0.122138077,0.027075048,-0.192903434,-0.073422131,0.342012723,-0.262880444,-0.282267529,-0.812800729,-0.021483439,-0.054577867,-0.25578919,-0.688988996,-0.46507539,0.24772777,-0.276267513,1.017808055,0.265114234,-1.597288387,-0.015921077,-0.760178024,-0.183029029,0.056909624,-0.220972323,-0.151885791,-0.347632478,0.554328824,-0.015557059,0.108839691,-0.010047542,0.016890779,-0.617383141,-0.618121928,0.397277364,-0.0952739,0.272167989,-0.412684018,-0.250403795,0.020225672,0.120587637,0.193367921,-0.055104097,-0.710640398,0.586468177,0.167416765,-2.059528314,-0.28990117,0.06056334,-0.086915453,0.154965898,0.002678472,-1.101720341,-0.869791686,-0.020763106,0.284277337,0.261814212,-0.093188705,0.148968846,-0.056842103,-0.250722209,-0.188981052,0.873325552,0.222279557,-0.266733308,-1.034622124,-0.03352516,0.912823438,-0.343265075,-0.022437596,0.010024428,-0.959782691
243,-0.21,0.36,0.35,-0.03,0.02,0.09,0.04,-0.24,0.11,-0.19,-0.08,-0.23,0.16,-0.21,0.21,0.08,-0.14,-0.08,-0.542391378,-0.352497651,0.051483476,-0.535821789,-0.505406351,-0.230145543,0.265133082,-0.340578811,-0.321228305,-0.565346346,0.262977779,-0.622592949,-0.176280488,0.341882393,-0.130833954,-0.127952134,-0.443211659,-0.259056625,0.204146728,-0.374992147,-0.302798694,0.168282087,-0.391498799,-0.65751689,-0.445756258,-0.056202224,-0.046805487,-0.532703573,-0.373793676,-0.202904357,-0.358592495,0.292652078,-0.318151378,-0.308087782,-0.272885781,-0.211908276,-0.280892471,-0.354942825,-0.231509333,-0.227443866,0.33391451,-0.385232044,0.167867855,0.584695193,0.623791589,-0.223908194,-0.421164556,0.053204778,-0.022927693,-0.971692141,-0.415009992,-0.406969448,-0.16644596,-0.00280094,-0.51876069,-0.397588692,-0.356819103,0.318006372,-0.288969756,-0.615591477,-0.184899362,-0.135116006,-0.230591172,0.252098914,0.601408614,-0.373653946,-0.192817569,0.667512684,-0.379683575,-0.584671913,-0.892126755,0.022098461,-0.147670028,-0.00886908,0.183127455,-0.382140574,-0.27855503,-0.325348611,-0.094314231,0.03199657,-0.463361922,0.132784365,-0.118586122,-0.222107539,0.004190851,-0.153467258,-0.183719593,-0.357753417,-0.031529658,-0.248311892,-0.244436338,0.18313292,-0.368814827,-0.14108888,-0.290764161,-0.084275098,-0.994427948,-0.121430631,-0.187559689,-0.726087169,-0.367952133,-0.454397094,-0.326565943,-0.368243576,0.837195914,-0.022409375
244,-0.65,-0.81,0.24,0.26,0.11,-0.04,-0.01,-0.43,-0.4,-0.78,-0.23,0.45,0.76,0.69,0.59,0.65,-0.33,-0.09,-0.421527294,0.194883089,-0.405817043,-0.00276593,-0.066449554,-0.283936011,0.526155471,-0.093448104,0.027766961,-0.360503517,0.44358586,-0.579947503,-0.036271496,0.911745646,0.056757335,-0.016130168,-0.499987577,0.787142141,0.634020723,0.068491692,0.172111367,-0.061834357,-0.19578501,-0.728368393,0.212314829,0.443355007,-0.343876614,0.180711077,-0.048297376,-0.285828825,-0.546451616,-0.205259725,-0.353955658,0.054120383,-0.409935582,-0.112740631,-0.179732614,-0.04367979,-0.206819622,0.139746613,-0.271319118,-0.104000834,0.019203876,0.532324441,-0.256240917,-0.182935135,-0.026187779,0.561802972,0.224874647,-0.805933176,0.312715237,0.095064554,-0.115509841,0.251966018,-0.178363183,-0.233877348,-0.064609277,0.107768203,-0.049187276,-0.467531602,0.56669837,-0.245034872,0.175776105,-0.228593383,-0.517188778,-0.184843866,0.189543993,-0.052200228,-0.375193586,-0.508191142,-0.371893413,1.247143264,0.251461581,-0.176899167,-0.18524519,-0.048518345,-0.095921205,0.038611064,0.044350051,-0.182407406,-0.62732272,0.11093179,-0.058145635,-0.013873387,0.11902211,0.296823871,-0.455999959,0.343751981,1.411839795,-0.237958238,-0.155750596,-0.216905429,1.545735839,-0.070335798,1.426199584,-0.105367146,-0.569787019,-0.118698931,-0.059316325,-0.051918437,0.111722438,-0.50715463,-0.394105162,-0.132204773,-0.205449335,-0.177137053
245,0.12,0.05,-0.68,-0.51,-0.59,0.35,0.01,0.14,0.81,0.22,-0.31,-0.2,-0.01,-0.01,-0.12,0.37,0.14,0.23,-0.158671582,0.000851804,0.017306654,-0.59210306,-0.211048791,-0.015371527,-0.262057132,0.428740039,-0.153807815,-0.518204365,-0.246422726,-0.186964572,1.467555105,-0.152033711,0.360374503,0.289362931,-0.985734643,-0.245522598,0.814018282,-0.189129831,-0.118469141,-0.419130551,-0.248479446,-0.920639476,-0.058225921,-0.377732017,-0.294596779,0.030952721,0.180526376,-0.331069544,-0.002385173,-0.680786401,-0.159745424,-0.10783858,-0.340055153,-0.356602388,-0.286470105,0.295200504,0.331874524,-0.020214796,0.447137566,-0.151817927,0.016182073,1.377186788,0.794459536,-0.015938975,-0.135985945,-0.09428141,-0.252084999,-0.795591408,0.051769389,-0.233616554,-0.062817395,0.950788795,-0.198333423,0.010518054,0.021487545,-0.331829088,-0.011741298,-0.487720313,0.019584644,0.344907218,-0.042946983,-0.094079807,0.183091494,-0.395107333,0.550942123,0.930725834,-0.415491731,-0.326823756,-0.114458543,-0.062287907,-0.009743028,-0.006897004,-0.003453744,-0.170292111,0.145194976,-0.007645776,-0.2237557,0.102975724,0.397490408,0.146340062,-0.687877089,0.665891624,0.596515388,0.466696754,-0.319099652,-0.018907332,0.002500187,-0.295847474,-0.152547365,0.103950368,0.272515712,-0.423817822,-0.071648644,-0.292917715,-0.830843101,0.032624351,-0.653066682,-0.620744937,0.556363392,-0.860457684,-0.469203837,-0.166834132,-0.1525363,-0.1934773
246,-1.22,-0.05,0.06,0.01,-0.62,0.18,-1.05,-1.16,-0.84,0.16,0.88,1.59,0.94,0.59,0.23,0.34,-0.01,-0.1,-0.550551499,1.713182071,-0.423054418,-0.000377386,-0.275887952,-0.409482099,0.285419975,0.489098344,-0.243976537,-0.336930291,-0.102012959,-0.229117602,0.154609131,0.271999532,-0.174390046,0.461494509,-0.307818224,-0.13338419,0.027636474,-0.172531426,1.218812222,0.425942307,-0.36876287,-1.071526796,0.25188739,-0.424492619,-0.463380123,-0.296809799,-0.17418276,-0.30459874,0.035240172,-0.61237579,-0.121460465,-0.323686314,-0.27641182,-0.406455189,-0.353661446,-0.254077945,0.006745827,0.219031564,-0.300130494,-0.084173774,-0.11517672,1.194188945,-0.070919847,0.047864023,-0.031613593,0.153553215,0.555333115,-0.673375794,0.791766321,0.709273959,-0.179388758,0.183317288,-0.135137348,-0.953403083,-0.315307651,-0.456531199,-0.126815237,-0.525247017,-0.050456148,0.16289989,-0.159375089,0.876327869,0.009885019,-0.357079257,-0.127054175,-0.101478086,-0.573915971,-0.333282286,-0.327723249,-0.163333028,0.024850272,-0.019892273,-0.02174063,0.067915528,0.034639304,-0.035696809,0.134331093,0.230183827,0.302374973,0.217751358,0.348008348,0.371970063,0.271685505,0.084770876,0.080813316,0.399172625,-0.006485736,0.131870884,-0.151084694,0.045298694,1.870940144,0.735681688,1.417228839,-0.242774466,-0.546371824,-0.217706151,-0.138807184,-0.604730104,0.223962332,-0.3749995,-0.356363172,-0.2218457,-0.005513002,-0.250196826
